,title,guid,link,description,year_month
37554,Parents beg US diplomat for apology over fatal crash,https://www.bbc.com/news/articles/cj3510kg5xdo#5,https://www.bbc.com/news/articles/cj3510kg5xdo,A Zimbabwean girl was killed in a road accident in June by a US diplomat who has left the country.,2024-08
3278,"French Open: Emma Raducanu, Rafael Nadal, Novak Djokovic & Iga Swiatek ready to start in Paris",https://www.bbc.co.uk/sport/tennis/61542336,https://www.bbc.co.uk/sport/tennis/61542336?at_medium=RSS&at_campaign=KARANGA,"Emma Raducanu says she is ""learning to be effective"" on clay as she makes the final preparations for her senior debut at the French Open on Monday.",2022-05
6100,Commonwealth Games: Adam Peaty cruises into 100m breaststroke semi-final,https://www.bbc.co.uk/sport/commonwealth-games/62361246,https://www.bbc.co.uk/sport/commonwealth-games/62361246?at_medium=RSS&at_campaign=KARANGA,Adam Peaty cruises into the men's 100m breaststroke final in his first race after fracturing his foot in May.,2022-07
32356,Rail strikes announced for May Bank Holiday week,https://www.bbc.co.uk/news/business-68874928#0,https://www.bbc.co.uk/news/business-68874928,Train drivers will stage walks-out between 7 and 9 May while overtime bans will disrupt services.,2024-04
35731,Ice baths at 2am and push-ups in the shower - life with Ronaldo's Portugal,https://www.bbc.com/sport/football/articles/c97dllq4gg1o#3,https://www.bbc.com/sport/football/articles/c97dllq4gg1o,Former Portugal defender Jose Fonte on life in the camp with Cristiano Ronaldo at a major tournament and what it took to win the European Championship in 2016.,2024-07
22514,Solheim Cup: US lead Europe 5-3 after opening day at Finca Cortesin,https://www.bbc.co.uk/sport/golf/66880275,https://www.bbc.co.uk/sport/golf/66880275?at_medium=RSS&at_campaign=KARANGA,Europe fight back superbly in Friday's afternoon session to trail 5-3 in the Solheim Cup after the United States won all four of the morning matches.,2023-09
18247,Nottingham: Students among three killed in Nottingham attacks,https://www.bbc.co.uk/news/uk-england-nottinghamshire-65893694,https://www.bbc.co.uk/news/uk-england-nottinghamshire-65893694?at_medium=RSS&at_campaign=KARANGA,Two 19-year-old university students and a man in his 50s were killed in van and knife attacks in the city on Tuesday morning.,2023-06
16349,Local elections 2023: When are they and who can vote?,https://www.bbc.co.uk/news/uk-politics-65013652,https://www.bbc.co.uk/news/uk-politics-65013652?at_medium=RSS&at_campaign=KARANGA,Local elections in some parts of England and Northern Ireland are taking place in May.,2023-04
35973,Fans and pundits react to England win,https://www.bbc.com/sport/football/videos/c0xjgl9e3z3o#5,https://www.bbc.com/sport/football/videos/c0xjgl9e3z3o,Watch the reaction from England fans and the BBC presenting team as Gareth Southgate’s side beat Switzerland on penalties in the quarter-finals of Euro 2024.,2024-07
40033,Wimbledon axes line judges from 2025,https://www.bbc.com/sport/tennis/articles/ce3zg3y23v7o#5,https://www.bbc.com/sport/tennis/articles/ce3zg3y23v7o,Wimbledon will remove line judges and bring in an electronic line calling system from 2025.,2024-10
37111,Is this the photo of the Paris 2024 Olympics? ,https://www.bbc.com/sport/olympics/articles/czrjz1zy3k1o#1,https://www.bbc.com/sport/olympics/articles/czrjz1zy3k1o,A striking image of Brazilian surfer Gabriel Medina at Paris 2024 has captured imaginations across the globe. ,2024-07
809,Doubt over PM claim that P&O sackings may be illegal,https://www.bbc.co.uk/news/business-60849957,https://www.bbc.co.uk/news/business-60849957?at_medium=RSS&at_campaign=KARANGA,There is doubt over a Boris Johnson claim that P&O Ferries may have broken a law by sacking 800 staff suddenly.,2022-03
40041,Why there is silence on Ten Hag's Man Utd future,https://www.bbc.com/sport/football/articles/c62dl40z4y6o#9,https://www.bbc.com/sport/football/articles/c62dl40z4y6o,A six-hour Manchester United board meeting concluded on Tuesday with Erik ten Hag still in position as the club's manager. Why has there been no comment on his future from the club?,2024-10
334,Six Nations: France edge past Wales to keep Grand Slam hopes alive,https://www.bbc.co.uk/sport/av/rugby-union/60714281,https://www.bbc.co.uk/sport/av/rugby-union/60714281?at_medium=RSS&at_campaign=KARANGA,Watch highlights as France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 win over Wales.,2022-03
13728,Wayne Couzens admits indecent exposure offences,https://www.bbc.co.uk/news/uk-england-london-64622477,https://www.bbc.co.uk/news/uk-england-london-64622477?at_medium=RSS&at_campaign=KARANGA,"Wayne Couzens exposed himself shortly before he abducted, raped and killed Sarah Everard in 2021.",2023-02
